checking_hour,hour,day_of_week,date,room,status
16,7:00pm,Thursday, October 13,520A,Unavailable
16,7:15pm,Thursday, October 13,520A,Unavailable
16,7:30pm,Thursday, October 13,520A,Unavailable
16,7:45pm,Thursday, October 13,520A,Unavailable
16,8:00pm,Thursday, October 13,520A,Unavailable
16,8:15pm,Thursday, October 13,520A,Unavailable
16,8:30pm,Thursday, October 13,520A,Unavailable
16,8:45pm,Thursday, October 13,520A,Unavailable
16,9:00pm,Thursday, October 13,520A,Unavailable
16,9:15pm,Thursday, October 13,520A,Unavailable
16,9:30pm,Thursday, October 13,520A,Unavailable
16,9:45pm,Thursday, October 13,520A,Unavailable
16,10:00pm,Thursday, October 13,520A,Unavailable
16,10:15pm,Thursday, October 13,520A,Unavailable
16,10:30pm,Thursday, October 13,520A,Unavailable
16,10:45pm,Thursday, October 13,520A,Unavailable
16,11:00pm,Thursday, October 13,520A,Unavailable
16,11:15pm,Thursday, October 13,520A,Unavailable
16,11:30pm,Thursday, October 13,520A,Available
16,11:45pm,Thursday, October 13,520A,Available
16,4:00pm,Thursday, October 13,520B,Unavailable
16,4:15pm,Thursday, October 13,520B,Unavailable
16,4:30pm,Thursday, October 13,520B,Unavailable
16,4:45pm,Thursday, October 13,520B,Unavailable
16,5:00pm,Thursday, October 13,520B,Unavailable
16,5:15pm,Thursday, October 13,520B,Unavailable
16,5:30pm,Thursday, October 13,520B,Unavailable
16,5:45pm,Thursday, October 13,520B,Unavailable
16,6:00pm,Thursday, October 13,520B,Unavailable
16,6:15pm,Thursday, October 13,520B,Unavailable
16,6:30pm,Thursday, October 13,520B,Unavailable
16,6:45pm,Thursday, October 13,520B,Unavailable
16,7:00pm,Thursday, October 13,520B,Unavailable
16,7:15pm,Thursday, October 13,520B,Unavailable
16,7:30pm,Thursday, October 13,520B,Unavailable
16,7:45pm,Thursday, October 13,520B,Unavailable
16,8:00pm,Thursday, October 13,520B,Unavailable
16,8:15pm,Thursday, October 13,520B,Unavailable
16,8:30pm,Thursday, October 13,520B,Unavailable
16,8:45pm,Thursday, October 13,520B,Unavailable
16,9:00pm,Thursday, October 13,520B,Unavailable
16,9:15pm,Thursday, October 13,520B,Unavailable
16,9:30pm,Thursday, October 13,520B,Unavailable
16,9:45pm,Thursday, October 13,520B,Unavailable
16,10:00pm,Thursday, October 13,520B,Unavailable
16,10:15pm,Thursday, October 13,520B,Unavailable
16,10:30pm,Thursday, October 13,520B,Unavailable
16,10:45pm,Thursday, October 13,520B,Unavailable
16,11:00pm,Thursday, October 13,520B,Unavailable
16,11:15pm,Thursday, October 13,520B,Unavailable
16,11:30pm,Thursday, October 13,520B,Unavailable
16,11:45pm,Thursday, October 13,520B,Unavailable
16,4:00pm,Thursday, October 13,520C,Unavailable
16,4:15pm,Thursday, October 13,520C,Unavailable
16,4:30pm,Thursday, October 13,520C,Unavailable
16,4:45pm,Thursday, October 13,520C,Unavailable
16,5:00pm,Thursday, October 13,520C,Unavailable
16,5:15pm,Thursday, October 13,520C,Unavailable
16,5:30pm,Thursday, October 13,520C,Unavailable
16,5:45pm,Thursday, October 13,520C,Unavailable
16,6:00pm,Thursday, October 13,520C,Unavailable
16,6:15pm,Thursday, October 13,520C,Unavailable
16,6:30pm,Thursday, October 13,520C,Unavailable
16,6:45pm,Thursday, October 13,520C,Unavailable
16,7:00pm,Thursday, October 13,520C,Unavailable
16,7:15pm,Thursday, October 13,520C,Unavailable
16,7:30pm,Thursday, October 13,520C,Unavailable
16,7:45pm,Thursday, October 13,520C,Unavailable
16,8:00pm,Thursday, October 13,520C,Unavailable
16,8:15pm,Thursday, October 13,520C,Unavailable
16,8:30pm,Thursday, October 13,520C,Unavailable
16,8:45pm,Thursday, October 13,520C,Unavailable
16,9:00pm,Thursday, October 13,520C,Unavailable
16,9:15pm,Thursday, October 13,520C,Unavailable
16,9:30pm,Thursday, October 13,520C,Unavailable
16,9:45pm,Thursday, October 13,520C,Unavailable
16,10:00pm,Thursday, October 13,520C,Unavailable
16,10:15pm,Thursday, October 13,520C,Unavailable
16,10:30pm,Thursday, October 13,520C,Unavailable
16,10:45pm,Thursday, October 13,520C,Unavailable
16,11:00pm,Thursday, October 13,520C,Unavailable
16,11:15pm,Thursday, October 13,520C,Unavailable
16,11:30pm,Thursday, October 13,520C,Unavailable
16,11:45pm,Thursday, October 13,520C,Unavailable
16,4:00pm,Thursday, October 13,520D,Unavailable
16,4:15pm,Thursday, October 13,520D,Unavailable
16,4:30pm,Thursday, October 13,520D,Unavailable
16,4:45pm,Thursday, October 13,520D,Unavailable
16,5:00pm,Thursday, October 13,520D,Unavailable
16,5:15pm,Thursday, October 13,520D,Unavailable
16,5:30pm,Thursday, October 13,520D,Unavailable
16,5:45pm,Thursday, October 13,520D,Unavailable
16,6:00pm,Thursday, October 13,520D,Unavailable
16,6:15pm,Thursday, October 13,520D,Unavailable
16,6:30pm,Thursday, October 13,520D,Unavailable
16,6:45pm,Thursday, October 13,520D,Unavailable
16,7:00pm,Thursday, October 13,520D,Unavailable
16,7:15pm,Thursday, October 13,520D,Unavailable
16,7:30pm,Thursday, October 13,520D,Unavailable
16,7:45pm,Thursday, October 13,520D,Unavailable
16,8:00pm,Thursday, October 13,520D,Unavailable
16,8:15pm,Thursday, October 13,520D,Unavailable
16,8:30pm,Thursday, October 13,520D,Unavailable
16,8:45pm,Thursday, October 13,520D,Unavailable
16,9:00pm,Thursday, October 13,520D,Unavailable
16,9:15pm,Thursday, October 13,520D,Unavailable
16,9:30pm,Thursday, October 13,520D,Unavailable
16,9:45pm,Thursday, October 13,520D,Unavailable
16,10:00pm,Thursday, October 13,520D,Unavailable
16,10:15pm,Thursday, October 13,520D,Unavailable
16,10:30pm,Thursday, October 13,520D,Unavailable
16,10:45pm,Thursday, October 13,520D,Unavailable
16,11:00pm,Thursday, October 13,520D,Unavailable
16,11:15pm,Thursday, October 13,520D,Unavailable
16,11:30pm,Thursday, October 13,520D,Unavailable
16,11:45pm,Thursday, October 13,520D,Available
