checking_hour,hour,day_of_week,date,room,status
12,11:00pm,Tuesday, October 11,306,Available
12,11:15pm,Tuesday, October 11,306,Available
12,11:30pm,Tuesday, October 11,306,Available
12,11:45pm,Tuesday, October 11,306,Available
12,12:00pm,Tuesday, October 11,356,Unavailable
12,12:15pm,Tuesday, October 11,356,Unavailable
12,12:30pm,Tuesday, October 11,356,Unavailable
12,12:45pm,Tuesday, October 11,356,Unavailable
12,1:00pm,Tuesday, October 11,356,Unavailable
12,1:15pm,Tuesday, October 11,356,Unavailable
12,1:30pm,Tuesday, October 11,356,Unavailable
12,1:45pm,Tuesday, October 11,356,Unavailable
12,2:00pm,Tuesday, October 11,356,Unavailable
12,2:15pm,Tuesday, October 11,356,Available
12,2:30pm,Tuesday, October 11,356,Unavailable
12,2:45pm,Tuesday, October 11,356,Unavailable
12,3:00pm,Tuesday, October 11,356,Unavailable
12,3:15pm,Tuesday, October 11,356,Unavailable
12,3:30pm,Tuesday, October 11,356,Unavailable
12,3:45pm,Tuesday, October 11,356,Unavailable
12,4:00pm,Tuesday, October 11,356,Unavailable
12,4:15pm,Tuesday, October 11,356,Unavailable
12,4:30pm,Tuesday, October 11,356,Unavailable
12,4:45pm,Tuesday, October 11,356,Unavailable
12,5:00pm,Tuesday, October 11,356,Unavailable
12,5:15pm,Tuesday, October 11,356,Unavailable
12,5:30pm,Tuesday, October 11,356,Unavailable
12,5:45pm,Tuesday, October 11,356,Unavailable
12,6:00pm,Tuesday, October 11,356,Unavailable
12,6:15pm,Tuesday, October 11,356,Unavailable
12,6:30pm,Tuesday, October 11,356,Unavailable
12,6:45pm,Tuesday, October 11,356,Unavailable
12,7:00pm,Tuesday, October 11,356,Unavailable
12,7:15pm,Tuesday, October 11,356,Unavailable
12,7:30pm,Tuesday, October 11,356,Available
12,7:45pm,Tuesday, October 11,356,Available
12,8:00pm,Tuesday, October 11,356,Available
12,8:15pm,Tuesday, October 11,356,Available
12,8:30pm,Tuesday, October 11,356,Available
12,8:45pm,Tuesday, October 11,356,Available
12,9:00pm,Tuesday, October 11,356,Available
12,9:15pm,Tuesday, October 11,356,Available
12,9:30pm,Tuesday, October 11,356,Available
12,9:45pm,Tuesday, October 11,356,Available
12,10:00pm,Tuesday, October 11,356,Available
12,10:15pm,Tuesday, October 11,356,Available
12,10:30pm,Tuesday, October 11,356,Available
12,10:45pm,Tuesday, October 11,356,Available
12,11:00pm,Tuesday, October 11,356,Available
12,11:15pm,Tuesday, October 11,356,Available
12,11:30pm,Tuesday, October 11,356,Available
12,11:45pm,Tuesday, October 11,356,Available
12,12:00pm,Tuesday, October 11,357,Unavailable
12,12:15pm,Tuesday, October 11,357,Unavailable
12,12:30pm,Tuesday, October 11,357,Unavailable
12,12:45pm,Tuesday, October 11,357,Unavailable
12,1:00pm,Tuesday, October 11,357,Unavailable
12,1:15pm,Tuesday, October 11,357,Unavailable
12,1:30pm,Tuesday, October 11,357,Unavailable
12,1:45pm,Tuesday, October 11,357,Unavailable
12,2:00pm,Tuesday, October 11,357,Unavailable
12,2:15pm,Tuesday, October 11,357,Unavailable
12,2:30pm,Tuesday, October 11,357,Unavailable
12,2:45pm,Tuesday, October 11,357,Unavailable
12,3:00pm,Tuesday, October 11,357,Unavailable
12,3:15pm,Tuesday, October 11,357,Unavailable
12,3:30pm,Tuesday, October 11,357,Unavailable
12,3:45pm,Tuesday, October 11,357,Unavailable
12,4:00pm,Tuesday, October 11,357,Unavailable
12,4:15pm,Tuesday, October 11,357,Unavailable
12,4:30pm,Tuesday, October 11,357,Unavailable
12,4:45pm,Tuesday, October 11,357,Unavailable
12,5:00pm,Tuesday, October 11,357,Unavailable
12,5:15pm,Tuesday, October 11,357,Unavailable
12,5:30pm,Tuesday, October 11,357,Unavailable
12,5:45pm,Tuesday, October 11,357,Unavailable
12,6:00pm,Tuesday, October 11,357,Unavailable
12,6:15pm,Tuesday, October 11,357,Unavailable
12,6:30pm,Tuesday, October 11,357,Unavailable
12,6:45pm,Tuesday, October 11,357,Unavailable
12,7:00pm,Tuesday, October 11,357,Unavailable
12,7:15pm,Tuesday, October 11,357,Unavailable
12,7:30pm,Tuesday, October 11,357,Unavailable
12,7:45pm,Tuesday, October 11,357,Unavailable
12,8:00pm,Tuesday, October 11,357,Unavailable
12,8:15pm,Tuesday, October 11,357,Unavailable
12,8:30pm,Tuesday, October 11,357,Unavailable
12,8:45pm,Tuesday, October 11,357,Available
12,9:00pm,Tuesday, October 11,357,Available
12,9:15pm,Tuesday, October 11,357,Available
12,9:30pm,Tuesday, October 11,357,Available
12,9:45pm,Tuesday, October 11,357,Available
12,10:00pm,Tuesday, October 11,357,Available
12,10:15pm,Tuesday, October 11,357,Available
12,10:30pm,Tuesday, October 11,357,Available
12,10:45pm,Tuesday, October 11,357,Available
12,11:00pm,Tuesday, October 11,357,Available
12,11:15pm,Tuesday, October 11,357,Available
12,11:30pm,Tuesday, October 11,357,Available
12,11:45pm,Tuesday, October 11,357,Available
12,12:00pm,Tuesday, October 11,358,Unavailable
12,12:15pm,Tuesday, October 11,358,Unavailable
12,12:30pm,Tuesday, October 11,358,Unavailable
12,12:45pm,Tuesday, October 11,358,Unavailable
12,1:00pm,Tuesday, October 11,358,Unavailable
12,1:15pm,Tuesday, October 11,358,Unavailable
12,1:30pm,Tuesday, October 11,358,Unavailable
12,1:45pm,Tuesday, October 11,358,Unavailable
12,2:00pm,Tuesday, October 11,358,Unavailable
12,2:15pm,Tuesday, October 11,358,Unavailable
12,2:30pm,Tuesday, October 11,358,Unavailable
12,2:45pm,Tuesday, October 11,358,Unavailable
12,3:00pm,Tuesday, October 11,358,Unavailable
12,3:15pm,Tuesday, October 11,358,Unavailable
12,3:30pm,Tuesday, October 11,358,Unavailable
12,3:45pm,Tuesday, October 11,358,Unavailable
12,4:00pm,Tuesday, October 11,358,Unavailable
12,4:15pm,Tuesday, October 11,358,Unavailable
12,4:30pm,Tuesday, October 11,358,Unavailable
12,4:45pm,Tuesday, October 11,358,Unavailable
12,5:00pm,Tuesday, October 11,358,Unavailable
12,5:15pm,Tuesday, October 11,358,Unavailable
12,5:30pm,Tuesday, October 11,358,Unavailable
12,5:45pm,Tuesday, October 11,358,Unavailable
12,6:00pm,Tuesday, October 11,358,Unavailable
12,6:15pm,Tuesday, October 11,358,Unavailable
12,6:30pm,Tuesday, October 11,358,Unavailable
12,6:45pm,Tuesday, October 11,358,Unavailable
12,7:00pm,Tuesday, October 11,358,Unavailable
12,7:15pm,Tuesday, October 11,358,Unavailable
12,7:30pm,Tuesday, October 11,358,Unavailable
12,7:45pm,Tuesday, October 11,358,Unavailable
12,8:00pm,Tuesday, October 11,358,Unavailable
12,8:15pm,Tuesday, October 11,358,Unavailable
12,8:30pm,Tuesday, October 11,358,Unavailable
12,8:45pm,Tuesday, October 11,358,Unavailable
12,9:00pm,Tuesday, October 11,358,Unavailable
12,9:15pm,Tuesday, October 11,358,Unavailable
12,9:30pm,Tuesday, October 11,358,Available
12,9:45pm,Tuesday, October 11,358,Available
12,10:00pm,Tuesday, October 11,358,Available
12,10:15pm,Tuesday, October 11,358,Available
12,10:30pm,Tuesday, October 11,358,Available
12,10:45pm,Tuesday, October 11,358,Available
12,11:00pm,Tuesday, October 11,358,Available
12,11:15pm,Tuesday, October 11,358,Available
12,11:30pm,Tuesday, October 11,358,Available
12,11:45pm,Tuesday, October 11,358,Available
12,12:00pm,Tuesday, October 11,436,Unavailable
12,12:15pm,Tuesday, October 11,436,Unavailable
12,12:30pm,Tuesday, October 11,436,Unavailable
12,12:45pm,Tuesday, October 11,436,Unavailable
12,1:00pm,Tuesday, October 11,436,Unavailable
12,1:15pm,Tuesday, October 11,436,Unavailable
12,1:30pm,Tuesday, October 11,436,Unavailable
12,1:45pm,Tuesday, October 11,436,Unavailable
12,2:00pm,Tuesday, October 11,436,Unavailable
12,2:15pm,Tuesday, October 11,436,Unavailable
12,2:30pm,Tuesday, October 11,436,Unavailable
12,2:45pm,Tuesday, October 11,436,Unavailable
12,3:00pm,Tuesday, October 11,436,Unavailable
12,3:15pm,Tuesday, October 11,436,Unavailable
12,3:30pm,Tuesday, October 11,436,Unavailable
12,3:45pm,Tuesday, October 11,436,Unavailable
12,4:00pm,Tuesday, October 11,436,Unavailable
12,4:15pm,Tuesday, October 11,436,Unavailable
12,4:30pm,Tuesday, October 11,436,Unavailable
12,4:45pm,Tuesday, October 11,436,Unavailable
12,5:00pm,Tuesday, October 11,436,Unavailable
12,5:15pm,Tuesday, October 11,436,Unavailable
12,5:30pm,Tuesday, October 11,436,Unavailable
12,5:45pm,Tuesday, October 11,436,Unavailable
12,6:00pm,Tuesday, October 11,436,Unavailable
12,6:15pm,Tuesday, October 11,436,Unavailable
12,6:30pm,Tuesday, October 11,436,Unavailable
12,6:45pm,Tuesday, October 11,436,Unavailable
12,7:00pm,Tuesday, October 11,436,Unavailable
12,7:15pm,Tuesday, October 11,436,Unavailable
12,7:30pm,Tuesday, October 11,436,Unavailable
12,7:45pm,Tuesday, October 11,436,Unavailable
12,8:00pm,Tuesday, October 11,436,Unavailable
12,8:15pm,Tuesday, October 11,436,Unavailable
12,8:30pm,Tuesday, October 11,436,Available
12,8:45pm,Tuesday, October 11,436,Available
12,9:00pm,Tuesday, October 11,436,Available
12,9:15pm,Tuesday, October 11,436,Available
12,9:30pm,Tuesday, October 11,436,Available
12,9:45pm,Tuesday, October 11,436,Available
12,10:00pm,Tuesday, October 11,436,Available
12,10:15pm,Tuesday, October 11,436,Available
12,10:30pm,Tuesday, October 11,436,Available
12,10:45pm,Tuesday, October 11,436,Available
12,11:00pm,Tuesday, October 11,436,Available
12,11:15pm,Tuesday, October 11,436,Available
12,11:30pm,Tuesday, October 11,436,Available
12,11:45pm,Tuesday, October 11,436,Available
12,12:00pm,Tuesday, October 11,437,Unavailable
12,12:15pm,Tuesday, October 11,437,Unavailable
12,12:30pm,Tuesday, October 11,437,Unavailable
12,12:45pm,Tuesday, October 11,437,Unavailable
12,1:00pm,Tuesday, October 11,437,Unavailable
12,1:15pm,Tuesday, October 11,437,Unavailable
12,1:30pm,Tuesday, October 11,437,Unavailable
12,1:45pm,Tuesday, October 11,437,Unavailable
12,2:00pm,Tuesday, October 11,437,Unavailable
12,2:15pm,Tuesday, October 11,437,Unavailable
12,2:30pm,Tuesday, October 11,437,Unavailable
12,2:45pm,Tuesday, October 11,437,Unavailable
12,3:00pm,Tuesday, October 11,437,Unavailable
12,3:15pm,Tuesday, October 11,437,Unavailable
12,3:30pm,Tuesday, October 11,437,Unavailable
12,3:45pm,Tuesday, October 11,437,Unavailable
12,4:00pm,Tuesday, October 11,437,Unavailable
12,4:15pm,Tuesday, October 11,437,Unavailable
12,4:30pm,Tuesday, October 11,437,Unavailable
12,4:45pm,Tuesday, October 11,437,Unavailable
12,5:00pm,Tuesday, October 11,437,Unavailable
12,5:15pm,Tuesday, October 11,437,Unavailable
12,5:30pm,Tuesday, October 11,437,Unavailable
12,5:45pm,Tuesday, October 11,437,Unavailable
12,6:00pm,Tuesday, October 11,437,Unavailable
12,6:15pm,Tuesday, October 11,437,Unavailable
12,6:30pm,Tuesday, October 11,437,Unavailable
12,6:45pm,Tuesday, October 11,437,Unavailable
12,7:00pm,Tuesday, October 11,437,Unavailable
12,7:15pm,Tuesday, October 11,437,Unavailable
12,7:30pm,Tuesday, October 11,437,Unavailable
12,7:45pm,Tuesday, October 11,437,Unavailable
12,8:00pm,Tuesday, October 11,437,Unavailable
12,8:15pm,Tuesday, October 11,437,Unavailable
12,8:30pm,Tuesday, October 11,437,Unavailable
12,8:45pm,Tuesday, October 11,437,Unavailable
12,9:00pm,Tuesday, October 11,437,Unavailable
12,9:15pm,Tuesday, October 11,437,Unavailable
12,9:30pm,Tuesday, October 11,437,Unavailable
12,9:45pm,Tuesday, October 11,437,Unavailable
12,10:00pm,Tuesday, October 11,437,Unavailable
12,10:15pm,Tuesday, October 11,437,Unavailable
12,10:30pm,Tuesday, October 11,437,Unavailable
12,10:45pm,Tuesday, October 11,437,Unavailable
12,11:00pm,Tuesday, October 11,437,Unavailable
12,11:15pm,Tuesday, October 11,437,Unavailable
12,11:30pm,Tuesday, October 11,437,Unavailable
12,11:45pm,Tuesday, October 11,437,Unavailable
12,12:00pm,Tuesday, October 11,438,Unavailable
12,12:15pm,Tuesday, October 11,438,Unavailable
12,12:30pm,Tuesday, October 11,438,Unavailable
12,12:45pm,Tuesday, October 11,438,Unavailable
12,1:00pm,Tuesday, October 11,438,Unavailable
12,1:15pm,Tuesday, October 11,438,Unavailable
12,1:30pm,Tuesday, October 11,438,Unavailable
12,1:45pm,Tuesday, October 11,438,Unavailable
12,2:00pm,Tuesday, October 11,438,Unavailable
12,2:15pm,Tuesday, October 11,438,Unavailable
12,2:30pm,Tuesday, October 11,438,Unavailable
12,2:45pm,Tuesday, October 11,438,Unavailable
12,3:00pm,Tuesday, October 11,438,Unavailable
12,3:15pm,Tuesday, October 11,438,Unavailable
12,3:30pm,Tuesday, October 11,438,Unavailable
12,3:45pm,Tuesday, October 11,438,Unavailable
12,4:00pm,Tuesday, October 11,438,Unavailable
12,4:15pm,Tuesday, October 11,438,Unavailable
12,4:30pm,Tuesday, October 11,438,Unavailable
12,4:45pm,Tuesday, October 11,438,Unavailable
12,5:00pm,Tuesday, October 11,438,Unavailable
12,5:15pm,Tuesday, October 11,438,Unavailable
12,5:30pm,Tuesday, October 11,438,Unavailable
12,5:45pm,Tuesday, October 11,438,Unavailable
12,6:00pm,Tuesday, October 11,438,Unavailable
12,6:15pm,Tuesday, October 11,438,Unavailable
12,6:30pm,Tuesday, October 11,438,Unavailable
12,6:45pm,Tuesday, October 11,438,Unavailable
12,7:00pm,Tuesday, October 11,438,Unavailable
12,7:15pm,Tuesday, October 11,438,Unavailable
12,7:30pm,Tuesday, October 11,438,Unavailable
12,7:45pm,Tuesday, October 11,438,Available
12,8:00pm,Tuesday, October 11,438,Available
12,8:15pm,Tuesday, October 11,438,Available
12,8:30pm,Tuesday, October 11,438,Available
12,8:45pm,Tuesday, October 11,438,Available
12,9:00pm,Tuesday, October 11,438,Available
12,9:15pm,Tuesday, October 11,438,Available
12,9:30pm,Tuesday, October 11,438,Available
12,9:45pm,Tuesday, October 11,438,Available
12,10:00pm,Tuesday, October 11,438,Available
12,10:15pm,Tuesday, October 11,438,Available
12,10:30pm,Tuesday, October 11,438,Available
12,10:45pm,Tuesday, October 11,438,Available
12,11:00pm,Tuesday, October 11,438,Available
12,11:15pm,Tuesday, October 11,438,Available
12,11:30pm,Tuesday, October 11,438,Available
12,11:45pm,Tuesday, October 11,438,Available
12,12:00pm,Tuesday, October 11,440,Unavailable
12,12:15pm,Tuesday, October 11,440,Unavailable
12,12:30pm,Tuesday, October 11,440,Unavailable
12,12:45pm,Tuesday, October 11,440,Unavailable
12,1:00pm,Tuesday, October 11,440,Unavailable
12,1:15pm,Tuesday, October 11,440,Unavailable
12,1:30pm,Tuesday, October 11,440,Unavailable
12,1:45pm,Tuesday, October 11,440,Unavailable
12,2:00pm,Tuesday, October 11,440,Unavailable
12,2:15pm,Tuesday, October 11,440,Unavailable
12,2:30pm,Tuesday, October 11,440,Unavailable
12,2:45pm,Tuesday, October 11,440,Unavailable
12,3:00pm,Tuesday, October 11,440,Unavailable
12,3:15pm,Tuesday, October 11,440,Unavailable
12,3:30pm,Tuesday, October 11,440,Unavailable
12,3:45pm,Tuesday, October 11,440,Unavailable
12,4:00pm,Tuesday, October 11,440,Unavailable
12,4:15pm,Tuesday, October 11,440,Unavailable
12,4:30pm,Tuesday, October 11,440,Unavailable
12,4:45pm,Tuesday, October 11,440,Unavailable
12,5:00pm,Tuesday, October 11,440,Unavailable
12,5:15pm,Tuesday, October 11,440,Unavailable
12,5:30pm,Tuesday, October 11,440,Unavailable
12,5:45pm,Tuesday, October 11,440,Unavailable
12,6:00pm,Tuesday, October 11,440,Unavailable
12,6:15pm,Tuesday, October 11,440,Unavailable
12,6:30pm,Tuesday, October 11,440,Unavailable
12,6:45pm,Tuesday, October 11,440,Unavailable
12,7:00pm,Tuesday, October 11,440,Unavailable
12,7:15pm,Tuesday, October 11,440,Unavailable
12,7:30pm,Tuesday, October 11,440,Unavailable
12,7:45pm,Tuesday, October 11,440,Unavailable
12,8:00pm,Tuesday, October 11,440,Unavailable
12,8:15pm,Tuesday, October 11,440,Unavailable
12,8:30pm,Tuesday, October 11,440,Unavailable
12,8:45pm,Tuesday, October 11,440,Unavailable
12,9:00pm,Tuesday, October 11,440,Unavailable
12,9:15pm,Tuesday, October 11,440,Unavailable
12,9:30pm,Tuesday, October 11,440,Unavailable
12,9:45pm,Tuesday, October 11,440,Unavailable
12,10:00pm,Tuesday, October 11,440,Available
12,10:15pm,Tuesday, October 11,440,Available
12,10:30pm,Tuesday, October 11,440,Available
12,10:45pm,Tuesday, October 11,440,Available
12,11:00pm,Tuesday, October 11,440,Available
12,11:15pm,Tuesday, October 11,440,Available
12,11:30pm,Tuesday, October 11,440,Available
12,11:45pm,Tuesday, October 11,440,Available
12,12:00pm,Tuesday, October 11,441,Available
12,12:15pm,Tuesday, October 11,441,Available
12,12:30pm,Tuesday, October 11,441,Unavailable
12,12:45pm,Tuesday, October 11,441,Unavailable
12,1:00pm,Tuesday, October 11,441,Unavailable
12,1:15pm,Tuesday, October 11,441,Unavailable
12,1:30pm,Tuesday, October 11,441,Unavailable
12,1:45pm,Tuesday, October 11,441,Unavailable
12,2:00pm,Tuesday, October 11,441,Unavailable
12,2:15pm,Tuesday, October 11,441,Unavailable
12,2:30pm,Tuesday, October 11,441,Unavailable
12,2:45pm,Tuesday, October 11,441,Unavailable
12,3:00pm,Tuesday, October 11,441,Unavailable
12,3:15pm,Tuesday, October 11,441,Unavailable
12,3:30pm,Tuesday, October 11,441,Unavailable
12,3:45pm,Tuesday, October 11,441,Unavailable
12,4:00pm,Tuesday, October 11,441,Unavailable
12,4:15pm,Tuesday, October 11,441,Unavailable
12,4:30pm,Tuesday, October 11,441,Unavailable
12,4:45pm,Tuesday, October 11,441,Unavailable
12,5:00pm,Tuesday, October 11,441,Unavailable
12,5:15pm,Tuesday, October 11,441,Unavailable
12,5:30pm,Tuesday, October 11,441,Unavailable
